"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
6,462462287E0	2,850000191E1	3,611250305E1	-4,655625153E1
6,482456512E0	2,868750191E1	3,635625076E1	-4,650000000E1
6,502457097E0	2,874375153E1	3,665625000E1	-4,631250000E1
6,522454979E0	2,880000114E1	3,678750229E1	-4,625625229E1
6,542225067E0	2,880000114E1	3,695625305E1	-4,601250076E1
6,562278534E0	2,880000114E1	3,695625305E1	-4,620000076E1
6,582322113E0	2,874375153E1	3,695625305E1	-4,625625229E1
6,602434501E0	2,874375153E1	3,690000153E1	-4,650000000E1
6,622172325E0	2,898750114E1	3,671250153E1	-4,650000000E1
6,642020630E0	2,880000114E1	3,660000229E1	-4,631250000E1
6,661906413E0	2,898750114E1	3,648750305E1	-4,638750076E1
6,681812669E0	2,904375076E1	3,671250153E1	-4,655625153E1
6,701792197E0	2,928750038E1	3,671250153E1	-4,680000305E1
6,721760108E0	2,910000038E1	3,701250076E1	-4,655625153E1
6,741773022E0	2,904375076E1	3,725625229E1	-4,625625229E1
6,761856195E0	2,898750114E1	3,755625153E1	-4,620000076E1
6,781987910E0	2,898750114E1	3,785625076E1	-4,608750153E1
6,802143487E0	2,915625191E1	3,815625000E1	-4,608750153E1
6,822290762E0	2,904375076E1	3,840000153E1	-4,595625305E1
6,842393136E0	2,885625076E1	3,845625305E1	-4,578750229E1
6,862459334E0	2,874375153E1	3,875625229E1	-4,578750229E1
6,882506650E0	2,898750114E1	3,888750076E1	-4,590000153E1
6,902529415E0	2,885625076E1	3,911250305E1	-4,608750153E1
6,922533282E0	2,885625076E1	3,911250305E1	-4,601250076E1
6,942535960E0	2,874375153E1	3,911250305E1	-4,595625305E1
6,962293295E0	2,814375114E1	3,911250305E1	-4,650000000E1
6,982343145E0	2,808750153E1	3,911250305E1	-4,661250305E1
7,002380829E0	2,795625114E1	3,918750000E1	-4,668750000E1
7,022406442E0	2,748750114E1	3,888750076E1	-4,661250305E1
7,042432962E0	2,735625076E1	3,875625229E1	-4,668750000E1
7,062450206E0	2,754375076E1	3,870000076E1	-4,668750000E1
7,082455644E0	2,760000038E1	3,875625229E1	-4,650000000E1
7,102465239E0	2,760000038E1	3,875625229E1	-4,655625153E1
7,122468602E0	2,784375191E1	3,881250000E1	-4,625625229E1
7,142466050E0	2,795625114E1	3,905625153E1	-4,638750076E1
7,162468661E0	2,820000076E1	3,911250305E1	-4,661250305E1
7,182466009E0	2,868750191E1	3,941250229E1	-4,668750000E1
7,202469337E0	2,844375038E1	3,948750305E1	-4,680000305E1
7,222467798E0	2,820000076E1	3,965625000E1	-4,668750000E1
7,242462840E0	2,814375114E1	3,948750305E1	-4,698750305E1
7,262466830E0	2,778750038E1	3,948750305E1	-4,691250229E1
7,282465750E0	2,795625114E1	3,965625000E1	-4,668750000E1
7,302458958E0	2,778750038E1	3,960000229E1	-4,655625153E1
7,322461759E0	2,760000038E1	3,965625000E1	-4,655625153E1
7,342458876E0	2,778750038E1	3,965625000E1	-4,638750076E1
7,362453831E0	2,808750153E1	3,965625000E1	-4,620000076E1
7,382455825E0	2,820000076E1	3,960000229E1	-4,625625229E1
7,402453662E0	2,820000076E1	3,978750229E1	-4,625625229E1
7,422448469E0	2,855625153E1	3,990000153E1	-4,601250076E1
7,442452229E0	2,838750076E1	3,971250153E1	-4,625625229E1
7,462450984E0	2,844375038E1	3,960000229E1	-4,655625153E1
7,482445724E0	2,838750076E1	3,918750000E1	-4,650000000E1
