"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
5,881880996E0	-1,157887459E0	1,022724986E0	1,303499937E-1
5,902043123E0	-8,408125043E-1	4,299624860E-1	2,006125003E-1
5,922205506E0	-4,438500106E-1	-2,308624983E-1	1,846625060E-1
5,942367636E0	-2,810499966E-1	-5,618249774E-1	1,601874977E-1
5,962529804E0	-6,819999963E-2	-2,915000021E-1	1,346125007E-1
5,982691960E0	4,937624931E-1	3,189999983E-2	1,016125008E-1
6,002854156E0	1,088587523E0	-1,372250021E-1	1,112374961E-1
6,023016315E0	1,306800008E0	-5,608624816E-1	1,835625023E-1
6,043178714E0	1,089687467E0	-8,503000140E-1	2,217874974E-1
6,063340868E0	5,362499952E-1	-8,108375072E-1	1,644500047E-1
6,083503073E0	-1,267749965E-1	-3,691875041E-1	3,877500072E-2
6,103665472E0	-5,843750238E-1	5,193374753E-1	-1,016125008E-1
6,123827630E0	-7,152749896E-1	1,506999969E0	-1,644500047E-1
6,143989866E0	-6,247999668E-1	1,674062490E0	-1,516624987E-1
6,164152015E0	-4,779500067E-1	1,091887474E0	-2,144999951E-1
6,184314160E0	-2,384250015E-1	3,724874854E-1	-3,517250121E-1
6,204476544E0	3,404499888E-1	-2,330625057E-1	-3,506250083E-1
6,224638712E0	7,544624805E-1	-5,788750052E-1	-4,134624898E-1
6,244800943E0	9,044749737E-1	-5,171374679E-1	-5,710374713E-1
6,264963328E0	9,864249825E-1	-2,299000025E-1	-6,689375043E-1
6,285125467E0	8,927875161E-1	-1,801249944E-2	-6,283749938E-1
6,305287698E0	4,809750021E-1	1,991000026E-1	-5,220875144E-1
6,325449799E0	-1,777874976E-1	6,237000227E-1	-3,667125106E-1
6,345612034E0	-5,076500177E-1	1,026987553E0	-1,303499937E-1
6,365774171E0	-3,565374911E-1	9,833999872E-1	1,314499974E-1
6,385936543E0	-1,388750039E-2	3,607999980E-1	2,345750034E-1
6,406098702E0	1,552374959E-1	-1,947000027E-1	1,813624948E-1
6,426260870E0	1,531749964E-1	-2,745875120E-1	2,154625058E-1
6,446423117E0	1,244374961E-1	0,000000000E0	3,367374837E-1
6,466585505E0	5,843750015E-2	2,054249942E-1	4,655750096E-1
6,486747668E0	-3,836249933E-2	1,072499994E-2	5,241500139E-1
6,506909901E0	-1,192125008E-1	-2,299000025E-1	5,262125134E-1
6,527072289E0	-1,533125043E-1	-3,309625089E-1	5,028374791E-1
6,547234442E0	-8,731249720E-2	-2,191749960E-1	4,740999937E-1
6,567396663E0	1,594999991E-2	5,541250110E-2	3,932499886E-1
6,587558834E0	5,953750014E-2	3,064875007E-1	2,877874970E-1
6,607721231E0	2,007500082E-2	4,331249893E-1	2,293500006E-1
