"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
6,708532313E0	-1,456050038E0	5,538000107E0	8,029950142E0
6,728694247E0	-1,237950087E0	5,413950443E0	8,278950691E0
6,748856693E0	-1,639950037E0	5,524050236E0	8,515950203E0
6,769018828E0	-2,133000135E0	5,485050201E0	9,055050850E0
6,789180978E0	-2,256000042E0	5,239050388E0	9,414000511E0
6,809343117E0	-1,516050100E0	4,879950047E0	8,202000618E0
6,829505492E0	-6,820500493E-1	4,705049992E0	6,991050243E0
6,849667649E0	-3,640500307E-1	4,827000141E0	6,237000465E0
6,869829877E0	-2,920500040E-1	5,032950401E0	6,234000206E0
6,889992041E0	-3,810000122E-1	5,287050247E0	6,378000259E0
6,910154423E0	-6,850500107E-1	5,892000198E0	6,270000458E0
6,930316562E0	-9,840000272E-1	6,450000286E0	6,292050362E0
6,950478805E0	-1,494000077E0	6,643950462E0	6,856950283E0
6,970640973E0	-1,779000044E0	6,462000370E0	8,116050720E0
6,990803339E0	-1,980000138E0	5,932950497E0	9,634050369E0
7,010965497E0	-2,107050180E0	5,449050426E0	1,108305073E1
7,031127654E0	-1,996950150E0	4,903950214E0	1,175295067E1
7,051289815E0	-2,071050167E0	4,381950378E0	1,220295048E1
7,071452041E0	-1,711950064E0	4,393949986E0	1,070400047E1
7,091614431E0	-1,224000096E0	4,831950188E0	7,929000378E0
7,111776568E0	-1,057950020E0	5,089950085E0	5,212050438E0
7,131938815E0	-2,095050097E0	5,148000240E0	5,956050396E0
7,152100983E0	-2,928000212E0	4,918050289E0	8,482049942E0
7,172263443E0	-2,377950191E0	4,975050449E0	7,707000256E0
7,192425515E0	-1,542000055E0	5,691000462E0	5,266950130E0
7,212587655E0	-7,849500179E-1	6,201000214E0	2,593050241E0
7,232749893E0	-5,599500537E-1	6,414000511E0	2,889000177E0
7,252912060E0	-2,200050116E0	6,532050133E0	7,759050369E0
7,273074448E0	-3,049950123E0	5,746050358E0	1,186800098E1
7,293236568E0	-1,870050073E0	4,710000038E0	1,148700047E1
7,313398825E0	-1,200000048E0	5,028000355E0	8,851050377E0
7,333560979E0	-6,370500326E-1	5,454000473E0	7,363950253E0
7,353723357E0	2,220000178E-1	5,430000305E0	6,495000362E0
7,373885504E0	5,350500345E-1	5,278950214E0	7,156050205E0
7,394047646E0	1,350000054E-1	5,677050114E0	7,750050545E0
7,414209891E0	-9,820500612E-1	6,550950527E0	7,960950375E0
7,434372036E0	-2,353950024E0	7,758000374E0	8,904000282E0
7,454534433E0	-3,145950079E0	8,440050125E0	9,607950211E0
7,474696607E0	-3,199050188E0	8,080950737E0	9,766050339E0
7,494858867E0	-3,493050098E0	7,048950195E0	9,976950645E0
7,515021247E0	-3,951000214E0	6,273000240E0	1,136505032E1
7,535183488E0	-3,510000229E0	5,445000172E0	1,274400043E1
7,555345548E0	-2,878050089E0	4,276050091E0	1,283505058E1
7,575507693E0	-2,382000208E0	3,511950254E0	1,129095078E1
7,595669925E0	-1,918050051E0	3,025950193E0	8,767050743E0
7,615832083E0	-1,509000063E0	2,779950142E0	6,112050056E0
7,635994468E0	-9,600000381E-1	2,890050173E0	3,993000269E0
7,656156612E0	0,000000000E0	3,438000202E0	2,011049986E0
7,676318872E0	2,002950191E0	2,085000038E0	2,490000010E0
7,696481036E0	2,050950050E0	2,578950167E0	2,923050165E0
7,716643405E0	9,040500522E-1	4,621050358E0	3,823050261E0
7,736805548E0	-1,453050017E0	6,802050114E0	7,276050568E0
7,756967776E0	-3,201000214E0	6,994050503E0	1,040295029E1
7,777129916E0	-4,108950138E0	5,983050346E0	1,338405037E1
7,797292280E0	-5,086050034E0	5,842050076E0	1,612995148E1
7,817454454E0	-5,368050098E0	5,505000114E0	1,619700050E1
7,837616613E0	-3,625050068E0	4,449000359E0	1,339605045E1
7,857778757E0	-1,990050077E0	3,538950205E0	9,912000656E0
7,877940988E0	-7,810500264E-1	2,908950090E0	7,786050320E0
7,898103381E0	-5,290500522E-1	2,856000185E0	5,832000256E0
7,918265548E0	-6,079500318E-1	3,093000174E0	3,945000172E0
7,938427765E0	-7,140000463E-1	4,019999981E0	2,341050148E0
7,958589925E0	-1,000950098E0	5,335050106E0	9,859500527E-1
7,978752083E0	-1,687950134E0	7,228050232E0	8,970000148E-1
7,998914476E0	-4,309950352E0	9,106050491E0	5,098950386E0
8,019076644E0	-6,865050316E0	8,506950378E0	1,130805016E1
8,039238810E0	-6,466950417E0	6,817050457E0	1,624200058E1
8,059401026E0	-4,204050064E0	5,409000397E0	1,657500076E1
8,079563413E0	-2,335050106E0	4,519950390E0	1,405905056E1
8,099725582E0	-1,081950068E0	3,868950129E0	1,173405075E1
8,119887731E0	-3,105000220E-2	3,289950132E0	9,094950676E0
8,140049978E0	2,620500028E-1	3,220050097E0	6,816000462E0
8,160212360E0	-4,530000091E-1	3,819000244E0	5,824950218E0
8,180374509E0	-1,453050017E0	4,657050133E0	5,181000233E0
8,200536731E0	-1,777050138E0	5,068950176E0	4,813950062E0
8,220698889E0	-1,330950022E0	4,614000320E0	5,161950111E0
8,240861045E0	-1,746000051E0	4,726050377E0	7,033950329E0
8,261023424E0	-2,373000145E0	4,947000027E0	8,458950043E0
8,281185581E0	-9,960000515E-1	4,791000366E0	6,664950371E0
8,301347798E0	1,182000041E0	4,216050148E0	5,791050434E0
8,321509930E0	3,451050282E0	2,365950108E0	9,112050056E0
