"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
6,090756064E0	-6,159999967E-2	1,303499937E-1	-1,086250022E-1
6,110918538E0	-1,530375034E-1	2,089999914E-1	-1,168750040E-2
6,131081230E0	-1,913999915E-1	2,186249942E-1	1,010624990E-1
6,151243680E0	-1,275999993E-1	2,441999912E-1	1,468500048E-1
6,171406131E0	-2,433750033E-2	2,707374990E-1	9,569999576E-2
6,191568593E0	7,782500237E-2	1,739374995E-1	-5,321250111E-2
6,211731054E0	5,335000157E-2	1,420374960E-1	-2,139499933E-1
6,231893521E0	-1,765500009E-1	3,856875002E-1	-2,469500005E-1
6,252055973E0	-3,308250010E-1	4,602124989E-1	-8,415000141E-2
6,272218511E0	-2,915000021E-1	4,081000090E-1	6,916250288E-2
6,292380915E0	-2,222000062E-1	4,687374830E-1	1,340624988E-1
6,312543367E0	-8,923749626E-2	3,643749952E-1	1,648624986E-1
6,332705819E0	2,887500077E-2	1,856250018E-1	5,101250112E-2
6,352868286E0	-4,138749838E-2	2,419999987E-1	-1,086250022E-1
6,373030737E0	-1,157749966E-1	3,537875116E-1	-1,533125043E-1
6,393193214E0	-1,083500013E-1	2,271499932E-1	-1,095874980E-1
6,413355673E0	-3,286249936E-2	1,292500049E-1	-1,245749965E-1
6,433518123E0	6,599999964E-3	5,472499877E-2	-8,415000141E-2
6,453680644E0	5,761250108E-2	-3,575000167E-2	-8,098749816E-2
6,473843142E0	1,416250020E-1	-1,729750037E-1	-1,447875053E-1
6,494005592E0	2,161500007E-1	-3,305499852E-1	-2,011625022E-1
6,514168079E0	3,088249862E-1	-4,294124842E-1	-1,979999989E-1
6,534330541E0	2,193125039E-1	-2,890250087E-1	-1,979999989E-1
6,554493014E0	9,061250091E-2	-2,463999987E-1	-1,288374960E-1
6,574655496E0	7,576250285E-2	-3,240875006E-1	-4,262499884E-2
6,594817972E0	3,849999979E-2	-3,060750067E-1	-5,747500062E-2
6,614980435E0	-4,344999790E-2	-2,580874860E-1	-4,688749835E-2
6,635142897E0	4,399999976E-3	-2,176624984E-1	1,911249943E-2
6,655305343E0	7,039999962E-2	-7,727500051E-2	3,616249934E-2
6,675467791E0	8,524999768E-2	1,746249944E-2	5,211250111E-2
6,695630260E0	7,246249914E-2	-1,223750040E-2	1,287000030E-1
6,715792697E0	5,335000157E-2	2,612499986E-3	1,713249981E-1
6,735955159E0	2,144999988E-2	4,936249927E-2	2,171124965E-1
6,756117621E0	-5,623750016E-2	1,483625025E-1	1,926375031E-1
6,776280083E0	-1,233374998E-1	1,665125042E-1	6,489999592E-2
6,796442752E0	-7,108750194E-2	1,101374999E-1	-1,278750040E-2
6,816605219E0	7,356250286E-2	1,388749927E-1	3,162499983E-3
6,836767692E0	1,267749965E-1	1,016125008E-1	4,675000161E-2
6,856930170E0	9,267500043E-2	9,198749810E-2	3,932499886E-2
6,877092620E0	1,498750038E-2	9,831249714E-2	-3,616249934E-2
6,897255077E0	-2,007500082E-2	2,818750031E-2	-1,245749965E-1
6,917417532E0	-2,543750033E-2	-1,208624989E-1	-2,404875010E-1
6,937579995E0	-2,323750034E-2	-1,336500049E-1	-2,490125000E-1
6,957742530E0	-3,602499887E-2	4,124999978E-4	-2,096875012E-1
6,977904923E0	-4,661250114E-2	-1,553750038E-2	-1,809500009E-1
6,998067385E0	-4,881250113E-2	-3,781250119E-2	-1,000999957E-1
7,018229852E0	7,782500237E-2	6,957499683E-2	1,801249944E-2
7,038392319E0	1,842499971E-1	4,619999975E-2	7,424999960E-3
7,058554857E0	1,214125007E-1	-2,296249941E-2	-1,149500012E-1
7,078717226E0	2,034999989E-2	-3,781250119E-2	-2,182125002E-1
7,098879693E0	-9,129999578E-2	-7,301250100E-2	-2,065249979E-1
7,119042136E0	-1,073874980E-1	-5,486249924E-2	-6,283749640E-2
7,139204575E0	-4,881250113E-2	2,392499894E-2	1,468500048E-1
7,159367019E0	4,276249930E-2	1,636249945E-2	2,095499933E-1
7,179529502E0	-1,787500083E-2	4,509999976E-2	1,457500011E-1
7,199691954E0	-1,073874980E-1	1,398375034E-1	3,932499886E-2
7,219854492E0	-1,392875016E-1	1,324124932E-1	-4,262499977E-3
7,240016939E0	-1,243000031E-1	8,030000329E-2	1,911249943E-2
7,260179387E0	-7,108750194E-2	4,413750023E-2	6,696250290E-2
7,280341844E0	2,351249941E-2	3,712499980E-3	5,843750015E-2
7,300504242E0	2,461249940E-2	-4,097500071E-2	-2,983750030E-2
7,320666776E0	1,924999990E-2	-4,853750020E-2	-1,117874980E-1
7,340829222E0	1,292499993E-2	-7,617499679E-2	-1,777874976E-1
7,360991618E0	-4,124999978E-3	-1,325500011E-1	-1,958000064E-1
7,381154175E0	-6,476250291E-2	-4,317500070E-2	-1,373624951E-1
7,401316644E0	-1,126125008E-1	2,488750033E-2	-2,131249942E-2
7,421479327E0	-1,296624988E-1	3,671250120E-2	8,937499672E-2
7,441641789E0	-9,776250273E-2	3,671250120E-2	1,425874978E-1
7,461804235E0	-1,787500083E-2	1,966249943E-2	1,287000030E-1
7,481966692E0	1,828750037E-2	-1,979999989E-2	1,484999992E-2
7,502129163E0	1,608750038E-2	-6,022499874E-2	-1,288374960E-1
7,522291702E0	-4,344999790E-2	-1,027124971E-1	-2,096875012E-1
7,542454178E0	-5,623750016E-2	-1,208624989E-1	-1,639000028E-1
7,562616654E0	-9,624999948E-4	-7,727500051E-2	-6,393750012E-2
7,582779137E0	1,828750037E-2	-4,207500070E-2	1,058750041E-2
