"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
5,141752071E0	-2,250000000E1	-8,643750191E0	-2,238750076E1
5,161742700E0	-2,274375153E1	-8,756250381E0	-2,238750076E1
5,181496974E0	-2,280000114E1	-8,812500000E0	-2,220000076E1
5,201549989E0	-2,285625076E1	-8,943750381E0	-2,231250000E1
5,221594002E0	-2,261250114E1	-8,756250381E0	-2,208750153E1
5,241639273E0	-2,285625076E1	-8,700000763E0	-2,201250076E1
5,261670978E0	-2,315625000E1	-8,943750381E0	-2,208750153E1
5,281691381E0	-2,310000038E1	-8,756250381E0	-2,208750153E1
5,301713202E0	-2,310000038E1	-8,700000763E0	-2,244375038E1
5,321727486E0	-2,291250038E1	-8,456250191E0	-2,238750076E1
5,341731227E0	-2,261250114E1	-8,400000572E0	-2,231250000E1
5,361505175E0	-2,261250114E1	-8,343750000E0	-2,220000076E1
5,381560266E0	-2,291250038E1	-8,343750000E0	-2,238750076E1
5,401603659E0	-2,291250038E1	-8,343750000E0	-2,244375038E1
5,421646532E0	-2,280000114E1	-8,343750000E0	-2,231250000E1
5,441677842E0	-2,280000114E1	-8,343750000E0	-2,220000076E1
5,461696922E0	-2,304375076E1	-8,456250191E0	-2,220000076E1
5,481716994E0	-2,340000153E1	-8,700000763E0	-2,231250000E1
5,501728057E0	-2,364375114E1	-8,643750191E0	-2,250000000E1
5,521740004E0	-2,370000076E1	-8,700000763E0	-2,250000000E1
5,541743868E0	-2,381250000E1	-8,643750191E0	-2,250000000E1
5,561742895E0	-2,400000000E1	-8,456250191E0	-2,238750076E1
5,581745983E0	-2,381250000E1	-8,343750000E0	-2,220000076E1
5,601743125E0	-2,405625153E1	-8,343750000E0	-2,201250076E1
5,621736897E0	-2,381250000E1	-8,456250191E0	-2,160000038E1
5,641738010E0	-2,351250076E1	-8,400000572E0	-2,154375076E1
5,661735472E0	-2,351250076E1	-8,512500763E0	-2,154375076E1
5,681729241E0	-2,351250076E1	-8,512500763E0	-2,141250038E1
5,701730603E0	-2,310000038E1	-8,512500763E0	-2,124375153E1
5,721726731E0	-2,310000038E1	-8,756250381E0	-2,130000114E1
5,741732927E0	-2,310000038E1	-8,643750191E0	-2,130000114E1
5,761732587E0	-2,285625076E1	-8,700000763E0	-2,154375076E1
5,781729146E0	-2,280000114E1	-8,456250191E0	-2,171250153E1
5,801731582E0	-2,285625076E1	-8,343750000E0	-2,171250153E1
5,821730214E0	-2,285625076E1	-8,212500572E0	-2,154375076E1
5,841724611E0	-2,304375076E1	-8,100000381E0	-2,171250153E1
5,861729119E0	-2,321250153E1	-8,100000381E0	-2,178750038E1
5,881727233E0	-2,310000038E1	-7,856250286E0	-2,190000153E1
5,901723153E0	-2,315625000E1	-7,912500381E0	-2,208750153E1
5,921759493E0	-2,334375000E1	-7,800000191E0	-2,208750153E1
